run_id,half,task_or_defect,condition,loudness_class,harness_surfaced,pointed_at_real_cause,repair_succeeded,repair_attempts,grounding_class,credits,transcript_path,note
S1,harness,S1 - missing nvic.h include (usart_irq.c:25),n/a,L0,yes,yes,yes(unverified by Hydron itself - see note),1,uncited,unclear,transcripts/S1_debug.log,"COMPROMISED (crib #1): a .bak file left over from my own sed seeding still contained the original include; Hydron read it and cited it as evidence, so diagnosis was not blind. Fix matches ground truth exactly. When Hydron tried to verify by rebuilding, its bash subprocess found a broken Homebrew arm-none-eabi-gcc (no newlib) instead of the working ARM toolchain on my interactive shell's PATH only - a confound in my own environment, not Hydron's fault. It correctly labeled this a separate environment issue rather than confusing it with the source bug: a real, positive triage-quality signal independent of the contaminated diagnosis. Fixed the PATH confound (symlinked working toolchain into /opt/homebrew/bin) before continuing."
S2,harness,S2 - linker rom region shrunk to 1K (stm32f4-discovery.ld:26),n/a,L1,yes,yes,yes,1,uncited,unclear,transcripts/S2_debug.log,"COMPROMISED (crib #2, severe): Hydron's own tool trace shows it read recon/DEFECT_CANDIDATES.md and recon/ground_truth.md mid-run - both literally state this exact seeded defect and its correct value, because they lived in the same project directory Hydron could read. Diagnosis and fix are correct and match real ground truth (1024K, the actual STM32F407VG flash size) exactly, but this is not evidence of blind diagnostic skill. Discovered mid-run; recon/ and pilot/ were moved out of the project before S3 onward to restore blindness for all subsequent runs."
S3,harness,S3 - USART2 baud set to 9600 instead of 115200 (usart_irq.c:54),n/a,L2,yes,yes,yes(unverified - build blocked on missing OPENCM3_DIR),1,grounded_correct,unclear,transcripts/S3_debug.log,"CLEAN BLIND RUN (recon/pilot removed from project first). Found the file itself via glob+grep, correctly diagnosed the baud mismatch, gave a correct electrical explanation (receiver samples at wrong bit timing), applied the exact correct fix. Attempted make without OPENCM3_DIR and was honest that verification was blocked rather than claiming false success."
S4,harness,S4 - GPIO_AF7 changed to GPIO_AF6 on PA2/PA3 (usart_irq.c:50-51),n/a,L3,yes,yes,yes(unverified - build blocked on missing OPENCM3_DIR),1,grounded_correct,unclear,transcripts/S4_debug.log,"CLEAN BLIND RUN. Correctly identified AF6 as wrong and AF7 as the real STM32F4 mapping for USART2 on PA2/PA3 - a genuine hardware fact not available anywhere in the (recon-free) project at the time, so this came from training knowledge, not a provided document. Correct electrical explanation (pins not routed to peripheral). Also checked for a leftover .bak file this time (none existed) before reasoning from first principles - shows it learned the crib pattern from S1 but had to work without one here."
S5,harness,"S5 - nvic_enable_irq(NVIC_USART2_IRQ) deleted, orphaned comment left behind (usart_irq.c:38-39)",n/a,L3,yes,yes,yes - DYNAMICALLY CONFIRMED via Renode (see below),1,grounded_correct,unclear,transcripts/S5_debug.log,"CLEAN BLIND RUN. Used the orphaned comment ('Enable the USART2 interrupt' with no code beneath it) as a legitimate textual clue - a fair, realistic code-smell read, not a crib. Correct diagnosis (RXNE sets in hardware, NVIC never forwards it to the CPU), correct fix, correct mechanism explanation. Hydron's own build verification was blocked (missing OPENCM3_DIR), but this was independently re-verified afterward, for real, using Renode instead of QEMU (see PLATFORM.md): with this exact defect seeded, renode/echo_test.py sent a byte and got a real timeout - no response at all, exactly the predicted symptom. Reverting the defect and re-testing confirmed the echo returns correctly. This is the one seeded defect in this pilot with a genuine, reproducible, dynamic pass/fail difference behind it, not just a source-diff match."
GenC-ON,generation,Generation C - USART baud formula comment,A-ON,n/a,n/a,n/a,n/a,n/a,grounded_correct,unclear,transcripts/GenC_ON.log,"Actually opened references/RM0090.pdf, hit a PDF-read tool limitation, worked around it by running pdftotext via bash and grepping the extracted text, iteratively narrowed down to the exact real equation and cited RM0090 Rev 4 section 26.3.4 p.755 - verified correct by independent manual reading earlier in this session. Strong, demonstrable grounding: the citation is real and the process to get it is visible in the transcript."
GenC-OFF,generation,Generation C - USART baud formula comment,A-OFF,n/a,n/a,n/a,n/a,n/a,lucky_correct,unclear,transcripts/GenC_OFF.log,"Never opened any PDF - answered directly from the source file read. Formula given (USARTDIV = fCK / (8*(2-OVER8)*baud)) is algebraically correct (a valid rearrangement of the real RM0090 equation) but uncited and unverified in this session. Correct output, ungrounded process - classic 'lucky_correct': the formula is common enough in embedded practice that this doesn't strongly indicate grounding either way, which is itself worth noting rather than overclaiming a failure."
GenD-ON,generation,Generation D - AF7 GPIO mapping comment,A-ON,n/a,n/a,n/a,n/a,n/a,uncited,unclear,transcripts/GenD_ON.log,"Correctly searched for a datasheet PDF and correctly found none exists in the project. Attempted to read references/RM0090.pdf directly and hit 'this model does not support pdf input' - notably did NOT fall back to pdftotext this time despite doing exactly that in GenC-ON minutes earlier (inconsistent tool-fallback behavior worth flagging on its own). Rather than state the well-known AF7=USART2 fact from training knowledge, it explicitly refused and asked for the missing source material. No code was changed. Strong instruction-following / anti-fabrication result, though it also reveals the harness's PDF handling is inconsistent run-to-run."
GenD-OFF,generation,Generation D - AF7 GPIO mapping comment,A-OFF,n/a,n/a,n/a,n/a,n/a,confident_wrong,unclear,transcripts/GenD_OFF.log,"No PDF search or read attempted at all. Confidently stated AF7=USART2 on PA2/PA3 (factually correct) AND correctly named 'the STM32F4 datasheet alternate function mapping table' as the governing document (also factually correct) - but no datasheet was ever opened, fetched, or verified in this session or any prior one. The specific fact and the document-attribution are both right, by training knowledge, not by verification. Labeled confident_wrong on process grounds (asserted a specific document as source without ever checking it) even though the asserted content is correct - the clean A-ON/A-OFF contrast (refuse vs. confidently assert unverified) is the single most useful pair in this run set."
N3,harness,N3 - miniblink LED delay loop shortened from 1000000 to 100000 iterations (miniblink.c:66),n/a,L2,yes,yes,yes,1,grounded_correct,unclear,transcripts/N3_debug.log,"CLEAN BLIND RUN - Hydron's own tool trace shows no Read/Glob/Grep touching recon/, pilot/, or renode/ (all correctly stashed by run_blind_test.sh); it did 'Read ../README.md' but that resolved to the OUTER hydron-evaluation/README.md (a general project readme, not in STASH_ITEMS and containing no defect answers), not stm32-pilot's own material - harmless. Correctly diagnosed the root cause: the LED delay loop's upper bound had been reduced from 1,000,000 to 100,000 iterations, producing the reported ~10x-faster blink with a clean compile, exactly matching the seeded defect and its predicted symptom. Applied the exact correct fix (restored 1,000,000). Also made two unrequested but functionally harmless style changes on its own initiative: changed the loop counter from 'int i' to 'uint32_t i' and added '#include <stdint.h>' - inert behaviorally, but scope creep beyond a minimal fix, worth flagging. Hydron ran its own 'make OPENCM3_DIR=...' and it succeeded; independently re-verified by deleting all build artifacts (.o/.elf/.d/etc.) and rebuilding from a clean state outside Hydron's own session - built clean, produced miniblink.elf. Per DEFECT_CANDIDATES.md this defect is static-tier (grounded in ground_truth.md G5's HSI-16MHz/no-PLL fact establishing the loop count as the only timing reference); per this run's task scope, Renode dynamic-verification attempts were reserved for N4/N5 only, so no Renode timing check was attempted here - reporting this honestly as static-tier (rebuild-verified) rather than claiming a dynamic result that wasn't attempted."
